Level,Date and Time,Source,Event ID,Task Category
Warning,9/16/2020 11:55:31 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/16/2020 11:55:31 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/16/2020 11:31:55 AM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Warning,9/16/2020 10:21:09 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,9/16/2020 9:44:13 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,9/16/2020 9:43:21 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,9/16/2020 9:31:56 AM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=NetworkAvailable"
Warning,9/16/2020 9:31:28 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Error,9/16/2020 9:31:03 AM,Microsoft-Windows-Kernel-Power,137,None,The system firmware has changed the processor's memory type range registers (MTRRs) across a sleep state transition (S4). This can result in reduced resume performance.
Error,9/16/2020 7:50:44 AM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Error,9/16/2020 7:48:30 AM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Error,9/16/2020 7:42:39 AM,Office 2016 Licensing Service,0,None,The operation completed successfully.
Error,9/16/2020 7:42:14 AM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Warning,9/16/2020 7:40:47 AM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=NetworkAvailable"
Warning,9/16/2020 7:40:21 AM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Error,9/16/2020 7:39:51 AM,Microsoft-Windows-DistributedCOM,10010,None,The server microsoft.windowscommunicationsapps_16005.13228.41005.0_x64__8wekyb3d8bbwe!microsoft.windowslive.calendar.AppXwkn9j84yh1kvnt49k5r8h6y1ecsv09hs.mca did not register with DCOM within the required timeout.
Warning,9/16/2020 7:39:38 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Error,9/15/2020 9:45:42 PM,Microsoft-Windows-Kernel-Power,137,None,The system firmware has changed the processor's memory type range registers (MTRRs) across a sleep state transition (S4). This can result in reduced resume performance.
Warning,9/15/2020 9:33:41 PM,ESENT,642,General,"Video.UI (6872,D,2) {74FD1F0B-F712-4CF8-90B1-690724227973}: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 9:33:41 PM,ESENT,642,General,"Video.UI (6872,D,2) {74FD1F0B-F712-4CF8-90B1-690724227973}: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 9:33:41 PM,ESENT,642,General,"Video.UI (6872,D,12) {74FD1F0B-F712-4CF8-90B1-690724227973}: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 9:33:41 PM,ESENT,642,General,"Video.UI (6872,D,50) {74FD1F0B-F712-4CF8-90B1-690724227973}: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 9:33:41 PM,ESENT,642,General,"Video.UI (6872,R,98) {74FD1F0B-F712-4CF8-90B1-690724227973}: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Error,9/15/2020 8:11:06 PM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Error,9/15/2020 8:08:37 PM,Microsoft-Windows-PrintService,808,Initializing,"The print spooler failed to load a plug-in module C:\WINDOWS\system32\spool\DRIVERS\x64\3\FXSUI.DLL, error code 0x7E. See the event user data for context information."
Error,9/15/2020 8:08:37 PM,Microsoft-Windows-PrintService,808,Initializing,"The print spooler failed to load a plug-in module C:\WINDOWS\system32\spool\DRIVERS\x64\3\FXSUI.DLL, error code 0x7E. See the event user data for context information."
Error,9/15/2020 8:08:37 PM,Microsoft-Windows-PrintService,808,Initializing,"The print spooler failed to load a plug-in module C:\WINDOWS\system32\spool\DRIVERS\x64\3\FXSUI.DLL, error code 0x7E. See the event user data for context information."
Warning,9/15/2020 8:08:36 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 8:08:36 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 8:08:36 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 8:08:36 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 7:48:14 PM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Error,9/15/2020 7:05:04 PM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Warning,9/15/2020 6:28:43 PM,ESENT,642,General,"Catalog Database (5188,D,22) Catalog Database: The database format feature version 9120 (0x23a0) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Error,9/15/2020 6:09:37 PM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Warning,9/15/2020 5:48:13 PM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Error,9/15/2020 5:18:45 PM,Microsoft-Windows-AppModel-Runtime,65,None,Failed with 0x57 retrieving AppModel Runtime status for package Windows.
Warning,9/15/2020 5:12:06 PM,ESENT,642,General,"MicrosoftEdge (16940,D,12) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 5:12:06 PM,ESENT,642,General,"MicrosoftEdge (16940,D,50) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:51:11 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,9/15/2020 4:48:11 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:48:10 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:48:10 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:48:10 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:47:25 PM,ESENT,642,General,"MicrosoftEdge (10120,D,12) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:47:25 PM,ESENT,642,General,"MicrosoftEdge (10120,D,50) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Error,9/15/2020 4:46:53 PM,Microsoft-Windows-Kernel-EventTracing,3,Session,"Session ""EventLog-AirSpaceChannel"" stopped due to the following error: 0xC0000188"
Warning,9/15/2020 4:46:53 PM,Microsoft-Windows-Kernel-EventTracing,4,Logging,"The maximum file size for session ""EventLog-AirSpaceChannel"" has been reached. As a result, events might be lost (not logged) to file ""C:\WINDOWS\System32\Winevt\Logs\AirSpaceChannel.etl"". The maximum files size is currently set to 1048576 bytes."
Warning,9/15/2020 4:46:18 PM,ESENT,642,General,"MicrosoftEdge (4056,D,12) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:46:18 PM,ESENT,642,General,"MicrosoftEdge (4056,D,50) C:\Users\almoi\AppData\Local\Packages\microsoft.microsoftedge_8wekyb3d8bbwe\AC\MicrosoftEdge\User\Default\DataStore\Data\nouser1\120712-0049\: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 4:45:09 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,9/15/2020 3:48:40 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:40 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:40 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:40 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:26 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:26 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:26 PM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:26 PM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 3:48:13 PM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=NetworkAvailable"
Warning,9/15/2020 3:47:55 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-3VCLFU80\almoi SID (S-1-5-21-3160199353-1972228045-1784530820-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,9/15/2020 3:47:50 PM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Warning,9/15/2020 3:47:13 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Error,9/15/2020 1:27:40 PM,Microsoft-Windows-Kernel-Power,137,None,The system firmware has changed the processor's memory type range registers (MTRRs) across a sleep state transition (S4). This can result in reduced resume performance.
Warning,9/15/2020 11:54:13 AM,Microsoft-Windows-Security-SPP,8233,None,"The rules engine reported a failed VL activation attempt.
Reason:0xC004F074
AppId = 0ff1ce15-a989-479d-af46-f275c6370663, SkuId = dedfa23d-6ed1-45a6-85dc-63cae0546de6
Trigger=TimerEvent"
Warning,9/15/2020 10:08:43 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:43 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:43 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:43 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:11 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:11 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:11 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:11 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:01 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:01 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:01 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:00 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:00 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:00 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:00 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:08:00 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:50 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:50 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:50 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:50 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:47 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:47 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:47 AM,ESENT,642,General,"Catalog Database (5188,D,12) Catalog Database: The database format feature version 9080 (0x2378) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
Warning,9/15/2020 10:01:47 AM,ESENT,642,General,"Catalog Database (5188,D,50) Catalog Database: The database format feature version 9180 (0x23dc) could not be used due to the current database format 1568.20.0, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat)."
